animal,target,s2_target_raw,barcode,coordinates_raw,threshold
Adult1,CP-I,CP-I,B17,"(0.62, 1.7, -2.5 - -3.5)",9
Adult1,CP-C,CP-C,B18,"(0.62, -1.7, -2.5 - -3.5)",8
Adult1,ACB-I,ACB-I,B7,"(1.5, 0.94, -4.36)",9
Adult1,ACB-C,ACB-C,B16,"(1.5, -0.94, -4.36)",3
Adult1,BLA-I,BLA-I,B2,"(-1.46, 3.15, -4.34)",4
Adult1,VIS-I,VIS-I,B11,"(-2.38, 1.5, -0.5)",7
Adult1,LHA-I,LHA-I,B6,"(-0.97, 1.19, -4.97)",5
Adult1,VTA-I,VTA-I,B12,"(-2.84, 0.4, -4.42)",5
Adult1,DR-I,DR-I,B15,"(-4.4, 0, -2.7)",6
Adult1,MD-I,MD-I,B10,"(-1.42, 0.18, -3.32)",3
Adult1,RE-I,Re-I,B9,"(-0.7, -0.04, -4.45)",5
Adult1,SC-I,SC-I,B13,"(-3.65, 0.55, -1.55)",4
Adult2,CP-I,CP-I,B11,"(0.62, 1.7, -2.5 - -3.5)",30
Adult2,CP-C,CP-C,B7,"(0.62, -1.7, -2.5 - -3.5)",30
Adult2,ACB-I,ACB-I,B12,"(1.5, 0.94, -4.36)",20
Adult2,ACB-C,ACB-C,B10,"(1.5, -0.94, -4.36)",5
Adult2,AId-I,AId-I,B1,"(1.45, 2.86, -2.58)",11
Adult2,AId-C,AId-C,B6,"(1.45, 2.86, -2.58)",9
Adult2,BLA-I,BLA-I,B8,"(-1.46, 3.15, -4.34)",11
Adult2,ECT-I,Ect-I,B15,"(-2.3, 4.43, -2.1)",8
Adult2,ENTl-I,Lent-I,B5,"(-3.4, 3.9, -3.37)",5
Adult2,RSP-I,RSP-I ,B9,"(-1.31, 0.45, -0.5--0.7)",15
Adult2,VIS-I,VIS-I ,B13,"(-2.38, 1.5, -0.5)",3
Adult2,AUD-I,AUD-I,B4,"(-2.18, 4.05, -0.5 - -0.8)",11
Adult2,SSp-I,SSp-I,B2,"(-1.05, 2.1, -0.55)",10
Adult2,PL-C,PL-C,B17,"(1.60, 0.4, -1.0 - -1.4)",19
Adult3,CP-I,CP-I,B11,"(0.62, 1.7, -2.5 - -3.5)",30
Adult3,CP-C,CP-C,B7,"(0.62, -1.7, -2.5 - -3.5)",18
Adult3,ACB-I,ACB-I,B12,"(1.5, 0.94, -4.36)",25
Adult3,ACB-C,ACB-C,B10,"(1.5, -0.94, -4.36)",7
Adult3,AId-I,AId-I,B1,"(1.45, 2.86, -2.58)",15
Adult3,AId-C,AId-C,B6,"(1.45, -2.86, -2.58)",8
Adult3,BLA-I,BLA-I,B8,"(-1.46, 3.15, -4.34)",11
Adult3,BLA-C,BLA -C,B16,"(-1.46, -3.15, -4.34)",3
Adult3,ECT-I,Ect-I,B15,"(-2.3, 4.43, -2.1)",11
Adult3,ECT-C,Ect-C,B3,"(-2.3, -4.43, -2.1)",9
Adult3,ENTl-I,Lent-I,B5,"(-3.4, 3.9, -3.37)",3
Adult3,ENTl-C,Lent-C,B14,"(-3.4, -3.9, -3.37)",5
Adult3,RSP-I,Rsp-I,B9,"(-1.31, 0.45, -0.5 - -0.7)",12
Adult3,RSP-C,Rsp-C,B17,"(-1.31, -0.45, -0.5 - -0.7)",5
Adult3,VIS-I,VIS-I,B13,"(-2.38, 1.5, -0.5)",3
Adult3,SSp-I,SSp-I,B2,"(-1.05, 2.1, -0.55)",14
